cod_municipio,uf,nome_maiusculo,nome_sem_acento_maiusculo,nome,nome_sem_acento
1100015,RO,ALTA FLORESTA D'OESTE,ALTA FLORESTA D'OESTE,Alta Floresta d'Oeste,Alta Floresta d'Oeste
1100023,RO,ARIQUEMES,ARIQUEMES,Ariquemes,Ariquemes
1100031,RO,CABIXI,CABIXI,Cabixi,Cabixi
1100049,RO,CACOAL,CACOAL,Cacoal,Cacoal
1100056,RO,CEREJEIRAS,CEREJEIRAS,Cerejeiras,Cerejeiras
1100064,RO,COLORADO DO OESTE,COLORADO DO OESTE,Colorado do Oeste,Colorado do Oeste
1100072,RO,CORUMBIARA,CORUMBIARA,Corumbiara,Corumbiara
1100080,RO,COSTA MARQUES,COSTA MARQUES,Costa Marques,Costa Marques
1100098,RO,ESPIGÃO D'OESTE,ESPIGAO D'OESTE,Espigão d'Oeste,Espigao d'Oeste
1100106,RO,GUAJARÁ-MIRIM,GUAJARA-MIRIM,Guajará-Mirim,Guajara-Mirim
1100114,RO,JARU,JARU,Jaru,Jaru
1100122,RO,JI-PARANÁ,JI-PARANA,Ji-Paraná,Ji-Parana
1100130,RO,MACHADINHO D'OESTE,MACHADINHO D'OESTE,Machadinho d'Oeste,Machadinho d'Oeste
1100148,RO,NOVA BRASILÂNDIA D'OESTE,NOVA BRASILANDIA D'OESTE,Nova Brasilândia d'Oeste,Nova Brasilandia d'Oeste
1100155,RO,OURO PRETO DO OESTE,OURO PRETO DO OESTE,Ouro Preto do Oeste,Ouro Preto do Oeste
1100189,RO,PIMENTA BUENO,PIMENTA BUENO,Pimenta Bueno,Pimenta Bueno
1100205,RO,PORTO VELHO,PORTO VELHO,Porto Velho,Porto Velho
1100254,RO,PRESIDENTE MÉDICI,PRESIDENTE MEDICI,Presidente Médici,Presidente Medici
1100262,RO,RIO CRESPO,RIO CRESPO,Rio Crespo,Rio Crespo
1100288,RO,ROLIM DE MOURA,ROLIM DE MOURA,Rolim de Moura,Rolim de Moura
1100296,RO,SANTA LUZIA D'OESTE,SANTA LUZIA D'OESTE,Santa Luzia d'Oeste,Santa Luzia d'Oeste
1100304,RO,VILHENA,VILHENA,Vilhena,Vilhena
1100320,RO,SÃO MIGUEL DO GUAPORÉ,SAO MIGUEL DO GUAPORE,São Miguel do Guaporé,Sao Miguel do Guapore
1100338,RO,NOVA MAMORÉ,NOVA MAMORE,Nova Mamoré,Nova Mamore
1100346,RO,ALVORADA D'OESTE,ALVORADA D'OESTE,Alvorada d'Oeste,Alvorada d'Oeste
1100379,RO,ALTO ALEGRE DOS PARECIS,ALTO ALEGRE DOS PARECIS,Alto Alegre dos Parecis,Alto Alegre dos Parecis
1100403,RO,ALTO PARAÍSO,ALTO PARAISO,Alto Paraíso,Alto Paraiso
1100452,RO,BURITIS,BURITIS,Buritis,Buritis
1100502,RO,NOVO HORIZONTE DO OESTE,NOVO HORIZONTE DO OESTE,Novo Horizonte do Oeste,Novo Horizonte do Oeste
1100601,RO,CACAULÂNDIA,CACAULANDIA,Cacaulândia,Cacaulandia
1100700,RO,CAMPO NOVO DE RONDÔNIA,CAMPO NOVO DE RONDONIA,Campo Novo de Rondônia,Campo Novo de Rondonia
1100809,RO,CANDEIAS DO JAMARI,CANDEIAS DO JAMARI,Candeias do Jamari,Candeias do Jamari
1100908,RO,CASTANHEIRAS,CASTANHEIRAS,Castanheiras,Castanheiras
1100924,RO,CHUPINGUAIA,CHUPINGUAIA,Chupinguaia,Chupinguaia
1100940,RO,CUJUBIM,CUJUBIM,Cujubim,Cujubim
1101005,RO,GOVERNADOR JORGE TEIXEIRA,GOVERNADOR JORGE TEIXEIRA,Governador Jorge Teixeira,Governador Jorge Teixeira
1101104,RO,ITAPUÃ DO OESTE,ITAPUA DO OESTE,Itapuã do Oeste,Itapua do Oeste
1101203,RO,MINISTRO ANDREAZZA,MINISTRO ANDREAZZA,Ministro Andreazza,Ministro Andreazza
1101302,RO,MIRANTE DA SERRA,MIRANTE DA SERRA,Mirante da Serra,Mirante da Serra
1101401,RO,MONTE NEGRO,MONTE NEGRO,Monte Negro,Monte Negro
1101435,RO,NOVA UNIÃO,NOVA UNIAO,Nova União,Nova Uniao
